Frame;Stirnfalten;Mundfalte;Lid / AU
1;222;95;0
2;301;79;0
3;287;84;0
4;291;73;0
5;267;85;0
6;233;98;0
7;314;81;0
8;437;86;1
9;649;72;1
10;854;70;1
11;823;34;1
12;730;31;1
13;825;42;1
14;684;38;1
15;790;33;1
16;742;39;1
17;706;34;1
18;737;58;1
19;587;73;0
20;417;97;0
21;275;130;0
22;170;156;0
23;168;145;0
24;150;138;0
25;196;130;0
26;241;123;0
27;220;120;0
28;141;80;0
29;113;76;0
30;151;64;0
31;84;58;0
32;110;65;0
33;155;63;0
34;83;70;0
35;98;62;0
36;127;73;0
37;107;59;0
38;234;73;0
39;394;76;0
40;593;65;0
41;738;58;1
42;882;50;1
43;809;53;1
44;738;47;1
45;778;49;1
46;722;41;1
47;686;43;0
48;585;54;0
49;434;66;0
50;257;58;0
